"Type","Built","Lot","Bed","Bath","Area","Cost","URLaddress"
"SingleFamily",1979,"0.21 Acres",6,5,"5,550",NA,"https://www.zillow.com/homedetails/910-E-Millstream-Way-S-Bountiful-UT-84010/2073564064_zpid/"
"Townhouse",2018,"0.02 Acres",3,4,"2,105","$420,183","https://www.zillow.com/homedetails/261-E-340-N-North-Salt-Lake-UT-84054/249104146_zpid/"
"Townhouse",1983,"0.01 Acres",3,2,"1,648","$305,125","https://www.zillow.com/homedetails/188-E-2050-S-APT-C4-Bountiful-UT-84010/2073705536_zpid/"
"SingleFamily",1959,"0.20 Acres",4,3,"2,268","$400,571","https://www.zillow.com/homedetails/840-N-600-E-Bountiful-UT-84010/12668097_zpid/"
"SingleFamily",1973,"0.43 Acres",3,3,"2,766","$533,270","https://www.zillow.com/homedetails/102-E-Oakridge-Dr-S-Bountiful-UT-84010/2073564113_zpid/"
"SingleFamily",1991,"0.53 Acres",4,3,"6,395","$764,794","https://www.zillow.com/homedetails/1632-Templeview-Dr-Bountiful-UT-84010/12670585_zpid/"
"SingleFamily",1964,"0.21 Acres",3,4,"2,644","$550,931","https://www.zillow.com/homedetails/1992-S-400-E-Bountiful-UT-84010/12670890_zpid/"
"SingleFamily",1989,"0.48 Acres",4,3,"3,512","$610,005","https://www.zillow.com/homedetails/932-N-Northridge-Dr-E-Bountiful-UT-84010/2073861476_zpid/"
"SingleFamily",1978,"0.31 Acres",7,4,"4,438",NA,"https://www.zillow.com/homedetails/1445-E-Seville-Way-Bountiful-UT-84010/2073586042_zpid/"
"Condo",1959,NA,3,2,"1,712","$248,659","https://www.zillow.com/homedetails/443-N-400-E-Bountiful-UT-84010/12665948_zpid/"
"Condo",2003,NA,2,2,"1,188",NA,"https://www.zillow.com/homedetails/380-N-500-W-APT-302-Bountiful-UT-84010/68445057_zpid/"
"SingleFamily",1976,"0.21 Acres",4,3,"2,907","$678,438","https://www.zillow.com/homedetails/1212-Mueller-Park-Rd-Bountiful-UT-84010/12672835_zpid/"
"Townhouse",1994,"0.13 Acres",3,3,"4,108","$699,571","https://www.zillow.com/homedetails/994-S-Barton-Ct-Bountiful-UT-84010/2076596670_zpid/"
"SingleFamily",1981,"0.74 Acres",4,4,"6,032","$1,247,883","https://www.zillow.com/homedetails/622-S-Woodland-Hills-Dr-E-Bountiful-UT-84010/2075683688_zpid/"
"SingleFamily",1969,"0.20 Acres",4,3,"2,520",NA,"https://www.zillow.com/homedetails/2191-S-Timothy-Way-E-Bountiful-UT-84010/2076612384_zpid/"
"SingleFamily",1969,"0.18 Acres",4,3,"2,213","$459,728","https://www.zillow.com/homedetails/1032-E-Deborah-Dr-S-Bountiful-UT-84010/2075413374_zpid/"
"Condo",2003,NA,2,2,"1,103","$250,834","https://www.zillow.com/homedetails/380-N-500-W-APT-102-Bountiful-UT-84010/68445050_zpid/"
"VacantLand",0,NA,NA,NA,NA,"$422,399","https://www.zillow.com/homedetails/925-E-Highland-Oaks-Dr-S-106-Bountiful-UT-84010/2075772520_zpid/"
NA,NA,NA,6,4,"5,397","$746,192","https://www.zillow.com/homedetails/851-Lakeview-Dr-Bountiful-UT-84010/12669438_zpid/"
"SingleFamily",1925,"0.25 Acres",4,3,"2,595","$471,035","https://www.zillow.com/homedetails/164-W-100-N-Bountiful-UT-84010/12664685_zpid/"
"SingleFamily",1964,"0.24 Acres",5,4,"3,426","$639,784","https://www.zillow.com/homedetails/920-E-350-N-Bountiful-UT-84010/12668448_zpid/"
NA,NA,NA,3,3,"2,042","$354,124","https://www.zillow.com/homedetails/820-N-250-W-Bountiful-UT-84010/12667322_zpid/"
"SingleFamily",1969,"0.27 Acres",5,3,"4,204","$600,803","https://www.zillow.com/homedetails/1420-S-Madera-Hills-Dr-Bountiful-UT-84010/2075428974_zpid/"
"SingleFamily",1944,"0.28 Acres",3,1,"1,560","$353,274","https://www.zillow.com/homedetails/1195-N-400-E-Bountiful-UT-84010/12663852_zpid/"
"MultiFamily",1941,NA,4,3,"2,537","$514,198","https://www.zillow.com/homedetails/89-W-1200-S-Bountiful-UT-84010/12665355_zpid/"
"SingleFamily",1974,"0.22 Acres",5,3,"3,639","$564,420","https://www.zillow.com/homedetails/986-E-Fair-Oaks-Dr-Bountiful-UT-84010/2077253562_zpid/"
"VacantLand",0,NA,NA,NA,NA,"$455,102","https://www.zillow.com/homedetails/1629-E-Maple-Hills-Dr-31-Bountiful-UT-84010/2075770750_zpid/"
